ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-06-03,35465.07835202324,18235.66710655614,43340.392745735095,35465.07835202324,35465.07835202324,-4473.224692349743,-4473.224692349743,-4473.224692349743,-4473.224692349743,-4473.224692349743,-4473.224692349743,0.0,0.0,0.0,30991.8536596735
2018-06-04,35430.16655825245,26431.02750983528,51399.04292582819,35430.16655825245,35430.16655825245,3353.7605489531616,3353.7605489531616,3353.7605489531616,3353.7605489531616,3353.7605489531616,3353.7605489531616,0.0,0.0,0.0,38783.927107205614
2018-06-05,35395.254764481666,26361.827872543192,51550.55574095719,35395.254764481666,35395.254764481666,3102.315042880086,3102.315042880086,3102.315042880086,3102.315042880086,3102.315042880086,3102.315042880086,0.0,0.0,0.0,38497.56980736175
2018-06-06,35360.34297071088,25543.84923920266,50445.670712559884,35360.34297071088,35360.34297071088,2283.0625598086317,2283.0625598086317,2283.0625598086317,2283.0625598086317,2283.0625598086317,2283.0625598086317,0.0,0.0,0.0,37643.405530519514
2018-06-07,35325.43117694009,23295.98363824865,47955.81366964707,35325.43117694009,35325.43117694009,1050.829968394322,1050.829968394322,1050.829968394322,1050.829968394322,1050.829968394322,1050.829968394322,0.0,0.0,0.0,36376.26114533441
2018-06-08,35290.5193831693,22965.67975365853,48935.10088799724,35290.5193831693,35290.5193831693,334.50203128106875,334.50203128106875,334.50203128106875,334.50203128106875,334.50203128106875,334.50203128106875,0.0,0.0,0.0,35625.02141445037
2018-06-09,35255.60758939852,16484.60603542682,43457.954742448404,35255.60758939852,35255.60758939852,-5651.245458961632,-5651.245458961632,-5651.245458961632,-5651.245458961632,-5651.245458961632,-5651.245458961632,0.0,0.0,0.0,29604.362130436886
2018-06-10,35220.69579562773,17894.771589281398,43503.12250689442,35220.69579562773,35220.69579562773,-4473.224692340579,-4473.224692340579,-4473.224692340579,-4473.224692340579,-4473.224692340579,-4473.224692340579,0.0,0.0,0.0,30747.471103287153
2018-06-11,35185.78400185695,26377.923014669457,51148.00494101742,35185.78400185695,35185.78400185695,3353.760548953514,3353.760548953514,3353.760548953514,3353.760548953514,3353.760548953514,3353.760548953514,0.0,0.0,0.0,38539.54455081046
2018-06-12,35150.872208086155,25609.990101947507,50851.27753773384,35150.872208086155,35150.872208086155,3102.3150428778713,3102.3150428778713,3102.3150428778713,3102.3150428778713,3102.3150428778713,3102.3150428778713,0.0,0.0,0.0,38253.18725096402
2018-06-13,35115.96041431537,25113.69227899017,49727.964284788155,35115.96041431537,35115.96041431537,2283.06255981067,2283.06255981067,2283.06255981067,2283.06255981067,2283.06255981067,2283.06255981067,0.0,0.0,0.0,37399.02297412604
2018-06-14,35081.048620544585,23234.96631340174,49038.4057427945,35081.048620544585,35081.048620544585,1050.8299683921882,1050.8299683921882,1050.8299683921882,1050.8299683921882,1050.8299683921882,1050.8299683921882,0.0,0.0,0.0,36131.87858893677
2018-06-15,35046.1368267738,23505.88756943225,47707.81321938498,35046.1368267738,35046.1368267738,334.5020312761841,334.5020312761841,334.5020312761841,334.5020312761841,334.5020312761841,334.5020312761841,0.0,0.0,0.0,35380.638858049984
2018-06-16,35011.22503300301,16495.665731394703,41882.52926000454,35011.22503300301,35011.22503300301,-5651.245458962779,-5651.245458962779,-5651.245458962779,-5651.245458962779,-5651.245458962779,-5651.245458962779,0.0,0.0,0.0,29359.97957404023
2018-06-17,34976.31323923222,17340.07412545483,43421.58957752741,34976.31323923222,34976.31323923222,-4473.224692343659,-4473.224692343659,-4473.224692343659,-4473.224692343659,-4473.224692343659,-4473.224692343659,0.0,0.0,0.0,30503.088546888564
2018-06-18,34941.40144546144,25980.82017972914,50563.347698152924,34941.40144546144,34941.40144546144,3353.7605489523116,3353.7605489523116,3353.7605489523116,3353.7605489523116,3353.7605489523116,3353.7605489523116,0.0,0.0,0.0,38295.16199441375
2018-06-19,34906.48965169065,26165.908303010667,50674.46893856394,34906.48965169065,34906.48965169065,3102.315042882571,3102.315042882571,3102.315042882571,3102.315042882571,3102.315042882571,3102.315042882571,0.0,0.0,0.0,38008.80469457322
2018-06-20,34871.57785791987,24562.4897615187,50336.27755531623,34871.57785791987,34871.57785791987,2283.0625598096503,2283.0625598096503,2283.0625598096503,2283.0625598096503,2283.0625598096503,2283.0625598096503,0.0,0.0,0.0,37154.64041772952
2018-06-21,34836.66606414908,23724.20195138267,48763.719477895334,34836.66606414908,34836.66606414908,1050.8299683934479,1050.8299683934479,1050.8299683934479,1050.8299683934479,1050.8299683934479,1050.8299683934479,0.0,0.0,0.0,35887.49603254253
2018-06-22,34801.75427037829,22599.402811344928,47527.11154126258,34801.75427037829,34801.75427037829,334.50203127674365,334.50203127674365,334.50203127674365,334.50203127674365,334.50203127674365,334.50203127674365,0.0,0.0,0.0,35136.256301655034
2018-06-23,34766.842476607504,16614.129642876138,41971.669892200014,34766.842476607504,34766.842476607504,-5651.245458963924,-5651.245458963924,-5651.245458963924,-5651.245458963924,-5651.245458963924,-5651.245458963924,0.0,0.0,0.0,29115.59701764358
2018-06-24,34731.93068283672,18129.354693958838,42283.81228181655,34731.93068283672,34731.93068283672,-4473.224692371166,-4473.224692371166,-4473.224692371166,-4473.224692371166,-4473.224692371166,-4473.224692371166,0.0,0.0,0.0,30258.705990465554
2018-06-25,34697.01888906593,26123.9073425937,50662.156923631104,34697.01888906593,34697.01888906593,3353.760548952663,3353.760548952663,3353.760548952663,3353.760548952663,3353.760548952663,3353.760548952663,0.0,0.0,0.0,38050.77943801859
2018-06-26,34662.10709529515,24723.050791501795,50177.137196824246,34662.10709529515,34662.10709529515,3102.315042880357,3102.315042880357,3102.315042880357,3102.315042880357,3102.315042880357,3102.315042880357,0.0,0.0,0.0,37764.422138175505
2018-06-27,34627.195301524356,25214.089589299736,49012.41524114908,34627.195301524356,34627.195301524356,2283.06255980863,2283.06255980863,2283.06255980863,2283.06255980863,2283.06255980863,2283.06255980863,0.0,0.0,0.0,36910.25786133298
2018-06-28,34592.28350775357,22884.895972627546,48217.05900126441,34592.28350775357,34592.28350775357,1050.8299683947077,1050.8299683947077,1050.8299683947077,1050.8299683947077,1050.8299683947077,1050.8299683947077,0.0,0.0,0.0,35643.113476148275
2018-06-29,34557.371713982786,22512.9785769749,47457.43958238943,34557.371713982786,34557.371713982786,334.50203127645227,334.50203127645227,334.50203127645227,334.50203127645227,334.50203127645227,334.50203127645227,0.0,0.0,0.0,34891.87374525924
2018-06-30,34522.45992021199,15838.741322762891,41510.25268754684,34522.45992021199,34522.45992021199,-5651.245458964309,-5651.245458964309,-5651.245458964309,-5651.245458964309,-5651.245458964309,-5651.245458964309,0.0,0.0,0.0,28871.214461247684
2018-07-01,34487.54812644121,16717.290336004957,41705.126316805094,34487.54812644121,34487.54812644121,-4473.224692362003,-4473.224692362003,-4473.224692362003,-4473.224692362003,-4473.224692362003,-4473.224692362003,0.0,0.0,0.0,30014.323434079204
2018-07-02,34452.63633267043,25052.379007143438,51245.93747650496,34452.63633267043,34452.63633267043,3353.7605489576263,3353.7605489576263,3353.7605489576263,3353.7605489576263,3353.7605489576263,3353.7605489576263,0.0,0.0,0.0,37806.396881628054
2018-07-03,34417.72453889964,23811.920158228426,50449.885219949654,34417.72453889964,34417.72453889964,3102.3150428803297,3102.3150428803297,3102.3150428803297,3102.3150428803297,3102.3150428803297,3102.3150428803297,0.0,0.0,0.0,37520.039581779965
2018-07-04,34382.81274512885,23811.13886470325,49087.90962617622,34382.81274512885,34382.81274512885,2283.062559807611,2283.062559807611,2283.062559807611,2283.062559807611,2283.062559807611,2283.062559807611,0.0,0.0,0.0,36665.87530493646
2018-07-05,34347.90095135806,22772.683675921442,48284.49760424264,34347.90095135806,34347.90095135806,1050.829968394626,1050.829968394626,1050.829968394626,1050.829968394626,1050.829968394626,1050.829968394626,0.0,0.0,0.0,35398.730919752685
2018-07-06,34312.989157587275,21985.668448787583,47356.65876927034,34312.989157587275,34312.989157587275,334.5020312770125,334.5020312770125,334.5020312770125,334.5020312770125,334.5020312770125,334.5020312770125,0.0,0.0,0.0,34647.49118886429
2018-07-07,34278.07736381649,15522.008761293555,39994.737878523934,34278.07736381649,34278.07736381649,-5651.245458965455,-5651.245458965455,-5651.245458965455,-5651.245458965455,-5651.245458965455,-5651.245458965455,0.0,0.0,0.0,28626.831904851035
2018-07-08,34243.165570045705,16903.857689944878,42930.41762377623,34243.165570045705,34243.165570045705,-4473.224692352839,-4473.224692352839,-4473.224692352839,-4473.224692352839,-4473.224692352839,-4473.224692352839,0.0,0.0,0.0,29769.940877692865
2018-07-09,34208.25377627491,24662.20898597645,50035.33035013268,34208.25377627491,34208.25377627491,3353.7605489625894,3353.7605489625894,3353.7605489625894,3353.7605489625894,3353.7605489625894,3353.7605489625894,0.0,0.0,0.0,37562.0143252375
2018-07-10,34173.34198250413,25508.55955193059,49799.327397101915,34173.34198250413,34173.34198250413,3102.315042880655,3102.315042880655,3102.315042880655,3102.315042880655,3102.315042880655,3102.315042880655,0.0,0.0,0.0,37275.65702538478
2018-07-11,34138.43018873334,23508.03446156265,48252.55325381676,34138.43018873334,34138.43018873334,2283.062559811369,2283.062559811369,2283.062559811369,2283.062559811369,2283.062559811369,2283.062559811369,0.0,0.0,0.0,36421.49274854471
2018-07-12,34103.51839496256,21760.26780513078,48054.15151277347,34103.51839496256,34103.51839496256,1050.829968392492,1050.829968392492,1050.829968392492,1050.829968392492,1050.829968392492,1050.829968392492,0.0,0.0,0.0,35154.34836335505
2018-07-13,34068.60660119177,21422.01443579866,47120.68003395035,34068.60660119177,34068.60660119177,334.5020312721276,334.5020312721276,334.5020312721276,334.5020312721276,334.5020312721276,334.5020312721276,0.0,0.0,0.0,34403.108632463896
2018-07-14,34033.69480742099,15637.591494673019,41526.305632553536,34033.69480742099,34033.69480742099,-5651.2454589730205,-5651.2454589730205,-5651.2454589730205,-5651.2454589730205,-5651.2454589730205,-5651.2454589730205,0.0,0.0,0.0,28382.449348447968
2018-07-15,33998.783013650194,16824.225146587756,42486.658136970815,33998.783013650194,33998.783013650194,-4473.224692362012,-4473.224692362012,-4473.224692362012,-4473.224692362012,-4473.224692362012,-4473.224692362012,0.0,0.0,0.0,29525.558321288183
2018-07-16,33963.87121987941,24989.283568112616,50212.69718985,33963.87121987941,33963.87121987941,3353.760548956776,3353.760548956776,3353.760548956776,3353.760548956776,3353.760548956776,3353.760548956776,0.0,0.0,0.0,37317.63176883619
2018-07-17,33928.959426108624,24534.328424372165,49688.16196231343,33928.959426108624,33928.959426108624,3102.3150428806275,3102.3150428806275,3102.3150428806275,3102.3150428806275,3102.3150428806275,3102.3150428806275,0.0,0.0,0.0,37031.27446898925
2018-07-18,33894.04763233783,23659.5352375646,48624.86458209643,33894.04763233783,33894.04763233783,2283.062559810349,2283.062559810349,2283.062559810349,2283.062559810349,2283.062559810349,2283.062559810349,0.0,0.0,0.0,36177.11019214818
2018-07-19,33859.135838567054,22403.845195485934,47789.034724257726,33859.135838567054,33859.135838567054,1050.8299683903583,1050.8299683903583,1050.8299683903583,1050.8299683903583,1050.8299683903583,1050.8299683903583,0.0,0.0,0.0,34909.965806957414
2018-07-20,33824.22404479626,20750.683314051406,46715.91625755044,33824.22404479626,33824.22404479626,334.5020312672424,334.5020312672424,334.5020312672424,334.5020312672424,334.5020312672424,334.5020312672424,0.0,0.0,0.0,34158.7260760635
2018-07-21,33789.312251025476,15876.035599679157,41006.14164728864,33789.312251025476,33789.312251025476,-5651.245458946971,-5651.245458946971,-5651.245458946971,-5651.245458946971,-5651.245458946971,-5651.245458946971,0.0,0.0,0.0,28138.066792078505
